institution,program
University of Calgary,Nursing
University of Saskatchewan,Nursing
Medicine Hat College,Nursing
Red River College,Nursing
McGill University ,Nutrition
Laurentian University,Physical and Health Education
Brandon University,Psychiatric Nursing
University of Lethbridge,Public Health
University of Lethbridge,Public Health
Cape Breton University,Public Health
University of Regina,Recreation and Sport Administration
Laurentian University,Sport and Physical Education
University of Regina,Sport Management
Laurentian University,Sport Psychology
University of Windsor,Sports Administration
University of Regina,Therapeutic Recreation
Carleton University,Information Technology
Carleton University,Information Technology
Carleton University,"Information Technology, Network Technology"
Carleton University,"Information Technology, Photonics and Laser Technology"
Toronto Metropolitan University (formerly Ryerson University) ,Professional Study Practicum
Algonquin College of Applied Arts and Technology (Ottawa),Bachelor of Public Safety (Honours)
University of Regina,Criminal Justice
York University,International Law
Toronto Metropolitan University (formerly Ryerson University) ,Juris Doctor - Common Law
University of New Brunswick - Fredericton Campus,Law
University of Victoria,Law
McGill University ,McGill International Experience
Capilano University,Paralegal
University of Regina,Social Justice
University of Ottawa,Accounting Audit
Concordia University of Edmonton,Accounting
Thompson Rivers University,Adventure Tourism
Algonquin College of Applied Arts and Technology (Ottawa),Bachelor of Digital Marketing Communication (Honours)
University of Lethbridge,Business Administration - Accounting
University of Lethbridge,Computer Science
University of Ottawa,E-Business
University of Lethbridge,Economics
Dalhousie University,Entrepreneurship and Innovation
University of Ottawa,Entrepreneurship
Thompson Rivers University,Entrepreneurship
Dalhousie University,"Environment, Sustainability and Society"
University of Guelph,Environmental Management
University of Ottawa,Finance
University of Lethbridge,Finance
Concordia University of Edmonton,Finance
Thompson Rivers University,General Business
University of Lethbridge,General Management
University of Lethbridge,Human Resources Management
University of Ottawa,Human Resources Management
Concordia University of Edmonton,Human Resources Management
Loyalist College,Human Services Management
University of Lethbridge,Indigenous Governance and Business Management
University of Lethbridge,International Management
University of Ottawa,International Management
Dalhousie University,Knowledge Management
University of Lethbridge,Labour Relations
Dalhousie University,Leadership & Organizations
Concordia University of Edmonton,Leadership Studies
Dalhousie University,Management & Globalization
University of Ottawa,Management and Information Systems
University of Lethbridge,Management Information Systems
Lakehead University,Management Systems
University of British Columbia - Okanagan Campus,Management
University of Ottawa,Management
University of Ottawa,Marketing
University of Lethbridge,Marketing
University of British Columbia - Okanagan Campus,Marketing
Concordia University of Edmonton,Marketing
University of Lethbridge,Political Science
University of Lethbridge,Public Administration
Dalhousie University,Public Sector Management
University of Regina,Sport Management
MacEwan University,Applied Human Services
Seneca College,Business Technology Management
University of British Columbia - Okanagan Campus,Entrepreneurial Technology
University of British Columbia - Okanagan Campus,Entrepreneurship
University of British Columbia - Okanagan Campus,Finance
Seneca College,Healthcare Management
University of British Columbia - Okanagan Campus,Human Resources
Western University,Management & Organizational Studies - Management & Legal Studies
Western University,Management and Organizational Studies - Accounting
Western University,Management and Organizational Studies - Commercial Aviation Management
Western University,Management and Organizational Studies - Finance
Western University,Management and Organizational Studies - HR Management
Western University,Management and Organizational Studies - Marketing
Western University,Management and Organizational Studies - Public Administration
University of British Columbia - Okanagan Campus,Non-Profit Management
University of British Columbia - Okanagan Campus,Operations/Supply Chain Management
University of British Columbia - Okanagan Campus,Psychology
University of British Columbia - Okanagan Campus,Strategy
University of British Columbia - Okanagan Campus,Sustainability
Carleton University,Mathematics
Athabasca University,Bachelor of Health Administration degree
University of Waterloo,Public Health
Brock University,Public Health
McMaster University,Actuarial & Financial Mathematics
